Product,New Price,Original Price,Hot Favourite,Product image URL,Upload Time,Store Name
Woot App: Sony WH-1000XM5 Wireless Active Noise Cancelling Headphones (Black),$280 ,$400 ,0,https://slickdeals.net/attachment/2/5/4/6/2/4/200x200/14938039.thumb,1 day ago,Woot!
Men's On Cloudgo Road Running Shoes in Hay/Sand (various sizes),$74.85 ,$150 ,1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14941276.thumb,1 day ago,REI
17oz. Fisher Oven Roasted Mammoth Pecans w/ Sea Salt,$10 ,$13 ,0,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14941255.thumb,1 day ago,Amazon
50-Count Starbucks by Nespresso Original Line Capsules (Blonde Roast Espresso),$23.35 ,$33 ,0,https://slickdeals.net/attachment/1/6/6/6/1/8/200x200/14940751.thumb,1 day ago,Amazon
Select Locations: 12-Piece Ninja Extended Life Essential Ceramic Cookware Set,$109 ,$200 ,0,https://slickdeals.net/attachment/2/4/9/7/4/4/3/8/200x200/14932957.thumb,1 day ago,Walmart
77” Samsung S89C 4K UHD 120Hz OLED Smart Tizen TV (2023 Model),"$1,800 ","$3,600 ",1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940892.thumb,1 day ago,Best Buy
"Dell Inspiron 16 2-In-1 TS Laptop: Ryzen 5 7530U, 16"" FHD+, 8GB RAM, 512GB SSD",$400 or Less,$750 ,0,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940748.thumb,1 day ago,Dell Technologies
"75"" Samsung Q70C 4K 120Hz Smart QLED TV","$1,000 ","$1,600 ",0,https://slickdeals.net/attachment/1/6/7/9/8/1/2/200x200/14940745.thumb,1 day ago,Best Buy
2024 Pennzoil Platinum Reward Offer: Purchase 10-Quarts Full Synthetic Motor Oil,Earn $25 eGift Card,,1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940730.thumb,1 day ago,Pennzoil
Select Accounts: 48-Ct 1.32-Oz Sheba Perfect Potions Wet Cat Food Tray (Variety),$11.50 ,$26 ,1,https://slickdeals.net/attachment/1/1/3/3/5/6/0/200x200/14939695.thumb,1 day ago,Amazon
The Last Voyage of the Demeter (2023) (4K UHD Digital Film),$5 ,$15 ,0,https://slickdeals.net/attachment/1/6/7/9/8/1/2/200x200/14940667.thumb,1 day ago,NBC Store
"Amazon Offer: Spend $20 on Select Skincare Products, Earn",$10 Amazon Credit,,1,https://slickdeals.net/attachment/3/3/2/8/0/4/4/7/200x200/14937088.thumb,1 day ago,Amazon
Silent Hill: The Short Message (Short Silent Hill Title) (PS5 Digital Download),Free,,1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940370.thumb,1 day ago,Playstation Store
"Xbox Series X|S/One Digital: Cris Tales or Foreclosed $4, SIFU",$14 ,$40 ,0,https://slickdeals.net/attachment/2/5/1/6/8/8/6/200x200/14933314.thumb,1 day ago,Xbox.com
Xfinity Rewards Members: $10 Unique Amazon Bookshelf Voucher Code,Free,$10 ,1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940187.thumb,1 day ago,Xfinity
Hasbro HeroQuest Game System Board Game,$47.50 ,$135 ,1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940169.thumb,1 day ago,GameStop
32-Count 5.5-Oz Purina Friskies Gravy Wet Cat Food (Poultry Shreds Variety Pack),$16.85 ,$25 ,0,https://slickdeals.net/attachment/9/3/0/4/6/1/9/200x200/14938096.thumb,1 day ago,Amazon
Nike Men's & Women's Air Max Excee Shoes (various colors),$51 ,$95 ,1,https://slickdeals.net/attachment/1/1/3/3/5/6/0/200x200/14933014.thumb,2 days ago,Academy Sports
